%loc	type	subtyp	n	ord	thresh	pol0	pol1	pol2	pol3
81	dssd_back	dssd_back	1	2	0	-128.0880157045	3.4638633149	-134.5071407993	3.4715191176
82	dssd_back	dssd_back	1	2	0	-127.4497673691	3.4610281776	-163.3795957214	3.4902654501
83	dssd_back	dssd_back	1	2	0	-133.455283304	3.4861171699	-127.3317979013	3.4845699413
84	dssd_back	dssd_back	1	2	0	-136.2016805619	3.47669089	-138.3825708331	3.4811902846
85	dssd_back	dssd_back	1	2	0	-129.4913965404	3.4578822787	-140.2477432091	3.4688778763
86	dssd_back	dssd_back	1	2	0	-134.5110752859	3.4839396179	-149.0867437907	3.4974291993
87	dssd_back	dssd_back	1	2	0	-134.5137200692	3.5309349412	-105.1679366269	3.5120646222
88	dssd_back	dssd_back	1	2	0	-135.9998562502	3.4776637026	-142.9003285192	3.4855058989
89	dssd_back	dssd_back	1	2	0	-132.8995223486	3.468277374	-156.9602705162	3.4888939444
90	dssd_back	dssd_back	1	2	0	-135.3982188803	3.516381503	-149.3740192899	3.5294056112
91	dssd_back	dssd_back	1	2	0	-137.2498440114	3.484807456	-174.7429928939	3.5154312626
92	dssd_back	dssd_back	1	2	0	-133.9725697393	3.4632599322	-124.1224263801	3.4594167829
93	dssd_back	dssd_back	1	2	0	-130.1397686092	3.4176786607	-109.481833229	3.405159363
94	dssd_back	dssd_back	1	2	0	-129.8801966557	3.4566629723	-93.2483264492	3.4324577289
95	dssd_back	dssd_back	1	2	0	-130.9197834479	3.4601369601	-68.2824251261	3.4160541077
96	dssd_back	dssd_back	1	2	0	-132.6498311295	3.4775327318	-58.1939136086	3.4259052416
97	dssd_back	dssd_back	1	2	0	-131.061140431	3.505667667	-170.3049258708	3.5375469205
98	dssd_back	dssd_back	1	2	0	-120.0610425497	3.4933830992	-132.3271903763	3.5049136731
99	dssd_back	dssd_back	1	2	0	-134.5450676944	3.4932797699	-136.9902029899	3.497791785
100	dssd_back	dssd_back	1	2	0	-137.1198415992	3.5695988884	-91.7707607738	3.539402459
101	dssd_back	dssd_back	1	2	0	-136.2516240267	3.549829345	-93.4951373236	3.5206402872
102	dssd_back	dssd_back	1	2	0	-133.0748230637	3.5610370338	-108.107659324	3.5458004036
103	dssd_back	dssd_back	1	2	0	-130.6755237697	3.5059444848	-125.1010619506	3.5057877346
104	dssd_back	dssd_back	1	2	0	-139.4573841079	3.5200110606	-146.1102861206	3.5282983351
105	dssd_back	dssd_back	1	2	0	-125.2201115908	3.5611459143	-99.2564151062	3.545278776
106	dssd_back	dssd_back	1	2	0	-122.7587992186	3.5029941144	-115.2501141221	3.5003319915
107	dssd_back	dssd_back	1	2	0	-136.0846253777	3.4968842309	-111.8709963678	3.4814058115
108	dssd_back	dssd_back	1	2	0	-130.9627111624	3.5179249218	-104.822816995	3.5014217813
109	dssd_back	dssd_back	1	2	0	-142.375078518	3.5280331331	-154.6138753069	3.5400709294
110	dssd_back	dssd_back	1	2	0	-126.6963031039	3.4829575661	-120.510568468	3.4821244272
111	dssd_back	dssd_back	1	2	0	-125.7589068643	3.5049519696	-58.5659073668	3.4587784225
112	dssd_back	dssd_back	1	2	0	-127.748061631	3.4748408069	-83.538122359	3.4436687284
113	dssd_back	dssd_back	1	2	0	-131.0416309174	3.4327792741	-92.0059583922	3.4072914563
114	dssd_back	dssd_back	1	2	0	-129.6484014174	3.4258737385	-108.6376312967	3.4141183137
115	dssd_back	dssd_back	1	2	0	-130.2278616619	3.5094929045	-112.9752540967	3.4991702966
116	dssd_back	dssd_back	1	2	0	-129.9171734345	3.4548417328	-134.6647104691	3.4615463537
117	dssd_back	dssd_back	1	2	0	-136.6947056705	3.4371626522	-203.5094497632	3.48824466
118	dssd_back	dssd_back	1	2	0	-87.9307161244	3.4531731212	-129.4225398662	3.4845699413
119	dssd_back	dssd_back	1	2	0	-136.1043594096	3.4672076591	-127.4930381567	3.4643898632
120	dssd_back	dssd_back	1	2	0	-125.0950499597	3.5182725132	-94.5276608102	3.49924288
121	dssd_back	dssd_back	1	2	0	-128.5305512897	3.5301406701	-117.7142916832	3.5242442601
122	dssd_back	dssd_back	1	2	0	-133.9726263924	3.5145107266	-82.9651153196	3.4801130503
123	dssd_back	dssd_back	1	2	0	-135.7563439378	3.4786614014	-82.3989205403	3.4423335918
124	dssd_back	dssd_back	1	2	0	-129.3895697735	3.4739717283	-144.0183998346	3.4875956171
125	dssd_back	dssd_back	1	2	0	-129.7364850177	3.4912755916	-89.7168648715	3.4648879578
